DATE,TRUCK,TRIP #,LEG ORG,LEG DEST,ZIP/POSTAL,MILES QTY,VMR RATE,MILEAGE PLUS,PREMIUMS,FUEL,TOTAL RATE,$ AMT,# PKGS,PKG $ AMT,D AND H,TOLLS,FLAT RATE,DAILY GROSS $ AMT,DRIVER #1,DRIVER #2
31-5-17,123,98393423,432,7341,43123,198,1.227,0.065,0,0.166,1.458,288.69,0,0,11,0,0,299.69,7741037,
31-5-17,123,98399430,7341,5436,46075,203,1.227,0.065,0,0.166,1.458,295.98,0,0,11,0,0,306.98,7741037,
31-5-17,123,98399686,5436,432,43125,16,2.177,0.065,0,0.166,2.408,38.53,0,0,6,0,0,44.53,7741037,
1-6-17,123,98438666,432,5436,43123,15,2.211,0.065,0,0.166,2.442,36.64,0,0,11,0,0,47.64,7671618,
1-6-17,123,98439581,5436,406,43125,128,1.227,0.065,0,0.166,1.458,186.63,0,0,11,0,0,197.63,7671618,
1-6-17,123,98440142,406,8402,41051,89,1.318,0.065,0,0.166,1.549,137.86,0,0,11,0,0,148.86,7671618,
1-6-17,123,98446815,8402,432,40299,197,1.227,0.065,0,0.166,1.458,287.23,0,0,11,0,0,298.23,7671618,
2-6-17,123,98482151,432,436,43123,147,1.227,0.065,0,0.166,1.458,214.33,0,0,11,0,0,225.33,7671618,
2-6-17,123,98485335,436,432,43551,148,1.227,0.065,0,0.166,1.458,215.79,0,0,11,0,0,226.79,7671618,
1-6-17,123,98414273,432,7820,43123,286,1.227,0.065,0,0.1488,1.4408,412.07,0,0,11,0,0,423.07,7663348,
1-6-17,123,98440811,7820,432,61858,285,1.227,0.065,0,0.1488,1.4408,410.64,0,0,11,0,0,421.64,7663348,
28-5-17,123,98312464,432,8154,43123,197,1.227,0.065,0,0.1832,1.4752,290.62,0,0,11,0,0,301.62,7872673,
28-5-17,123,98322101,8154,432,15479,197,1.227,0.065,0,0.1832,1.4752,290.62,0,0,11,0,0,301.62,7872673,
30-5-17,123,98348009,432,258,43123,227,1.227,0.065,0,0.1832,1.4752,334.88,0,0,11,0,0,345.88,7667277,
30-5-17,123,98350895,258,432,25813,227,1.227,0.065,0,0.1832,1.4752,334.88,0,0,11,0,0,345.88,7667277,
31-5-17,123,98392218,432,850,43123,1933,1.331,0.085,0,0.1832,1.5992,3091.26,0,0,11,0,0,3102.26,7667277,7872673
1-6-17,123,98452570,850,923,85043,319,1.331,0.085,0,0.1832,1.5992,510.15,0,0,11,0,0,521.15,7667277,7872673
2-6-17,123,98480385,923,915,92316,70,1.586,0.085,0,0.1832,1.8542,129.79,0,0,6,0,0,135.79,7667277,7872673
2-6-17,123,98484543,915,923,91331,71,1.58,0.085,0,0.1832,1.8482,131.23,0,0,6,0,0,137.23,7667277,7872673
2-6-17,123,98485384,923,432,92316,2212,1.331,0.085,0,0.1832,1.5992,3537.43,0,0,11,0,0,3218.43,7667277,7872673
3-11-18,123,117979830,432,7820,43123,286,1.305,0.085,0,0.287,1.677,479.62,0,0,13,0,0,492.62,7441635,
3-11-18,123,118004602,7820,432,61858,285,1.305,0.085,0,0.287,1.677,477.96,0,0,13,0,0,490.96,7441635,
6-11-18,123,118063482,432,7820,43123,286,1.305,0.085,0,0.287,1.677,479.62,0,0,13,0,0,492.62,7441635,
6-11-18,123,118086992,7820,432,61858,285,1.305,0.085,0,0.287,1.677,477.96,0,0,13,0,0,490.96,7441635,
7-11-18,123,118116474,432,7820,43123,286,1.305,0.085,0,0.287,1.677,479.62,0,0,13,0,0,492.62,7441635,
7-11-18,123,118145578,7820,432,61858,285,1.305,0.085,0,0.287,1.677,477.96,0,0,13,0,0,490.96,7441635,
8-11-18,123,118172603,432,7820,43123,286,1.305,0.085,0,0.287,1.677,479.62,0,0,13,0,0,492.62,7441635,
8-11-18,123,118199929,7820,432,61858,285,1.305,0.085,0,0.287,1.677,477.96,0,0,13,0,0,490.96,7441635,
9-11-18,123,118227286,432,7820,43123,286,1.305,0.085,0,0.287,1.677,479.62,0,0,13,0,0,492.62,7441635,
9-11-18,123,118254374,7820,432,61858,285,1.305,0.085,0,0.287,1.677,477.96,0,0,13,0,0,490.96,7441635,
